Exchange,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
Nasdaq,ERII,Energy Recovery: Inc.,8.08,435207303.2,n/a,2008,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/erii
Nasdaq,ENG,ENGlobal Corporation,0.9,24758385.3,n/a,n/a,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/eng
Nasdaq,ENPH,Enphase Energy: Inc.,5.42,576298339.9,n/a,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/enph
Nasdaq,ESGR,Enstar Group Limited,175.25,3760334168,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/esgr
Nasdaq,ESGRP,Enstar Group Limited,24.85,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/esgrp
Nasdaq,ETTX,Entasis Therapeutics Holdings Inc.,5.98,0,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ettx
Nasdaq,ENFC,Entegra Financial Corp.,23.35,160920541.2,n/a,2014,Finance,Banks,https://www.nasdaq.com/symbol/enfc
Nasdaq,ENTG,Entegris: Inc.,28.94,4090121484,n/a,2000,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/entg
Nasdaq,ENTX,Entera Bio Ltd.,5.3,60570096,n/a,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/entx
Nasdaq,ENTXW,Entera Bio Ltd.,0.9,0,n/a,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/entxw
Nasdaq,EBTC,Enterprise Bancorp Inc,33.4,390611730.8,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ebtc
Nasdaq,EFSC,Enterprise Financial Services Corporation,43.97,1017937950,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/efsc
Nasdaq,EPZM,Epizyme: Inc.,7.61,602468883.3,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/epzm
Nasdaq,PLUS,ePlus inc.,82.05,1124473425,n/a,1996,Technology,Retail: Computer Software & Peripheral Equipment,https://www.nasdaq.com/symbol/plus
Nasdaq,EQ,Equillium: Inc.,14.9,0,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/eq
Nasdaq,EQIX,Equinix: Inc.,384.11,30878794571,n/a,2000,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/eqix
Nasdaq,EQBK,Equity Bancshares: Inc.,37.69,595032571.1,n/a,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/eqbk
Nasdaq,ERIC,Ericsson,8.41,2617192849,311200101,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/eric
Nasdaq,ERIE,Erie Indemnity Company,137.29,7178875978,n/a,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/erie
Nasdaq,ERYP,Erytech Pharma S.A.,7.5616,22753965.96,3009147,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/eryp
Nasdaq,ESCA,Escalade: Incorporated,12.02,173565482.5,n/a,n/a,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/esca
Nasdaq,ESPR,Esperion Therapeutics: Inc.,51.53,1381570933,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/espr
Nasdaq,ESQ,Esquire Financial Holdings: Inc.,25.5,189865936.5,n/a,2017,Finance,Commercial Banks,https://www.nasdaq.com/symbol/esq
Nasdaq,ESSA,ESSA Bancorp: Inc.,16.15,190418125.4,n/a,n/a,Finance,Banks,https://www.nasdaq.com/symbol/essa
Nasdaq,EPIX,ESSA Pharma Inc.,2.8,17671074.4,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/epix
Nasdaq,ESND,Essendant Inc.,12.7,478051266.4,n/a,n/a,Consumer Services,Paper,https://www.nasdaq.com/symbol/esnd
Nasdaq,ESTA,Establishment Labs Holdings Inc.,26.26,539336309.5,n/a,2018,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/esta
Nasdaq,ESTR,Estre Ambiental: Inc.,3.67,187855306.4,n/a,n/a,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/estr
Nasdaq,ESTRW,Estre Ambiental: Inc.,0.13,0,n/a,n/a,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/estrw
Nasdaq,VBND,ETF Series Solutions Trust Vident Core U.S. Bond Strategy Fund,47.3101,406866860,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vbnd
Nasdaq,VUSE,ETF Series Solutions Trust Vident Core US Equity ETF,32.0042,486463840,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vuse
Nasdaq,VIDI,ETF Series Solutions Trust Vident International Equity Fund,23.92,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/vidi
Nasdaq,ETON,Eton Pharmaceutcials: Inc.,6.24,0,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/eton
Nasdaq,ETSY,Etsy: Inc.,52.8,6360290270,n/a,2015,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/etsy
Nasdaq,CLWT,Euro Tech Holdings Company Limited,3.22,6639346.98,n/a,1997,Consumer Durables,Diversified Electronic Products,https://www.nasdaq.com/symbol/clwt
Nasdaq,EDRY,EuroDry Ltd.,9.4,21188822,n/a,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/edry
Nasdaq,EEFT,Euronet Worldwide: Inc.,118.4,6104743190,n/a,1997,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/eeft
Nasdaq,ESEA,Euroseas Ltd.,0.999,11262851.87,n/a,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/esea
Nasdaq,EVLO,Evelo Biosciences: Inc.,9.9,314241859.8,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/evlo
Nasdaq,EVBG,Everbridge: Inc.,53.38,1582797924,n/a,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/evbg
Nasdaq,EVK,Ever-Glory International Group: Inc.,3.95,58452882.1,n/a,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/evk
Nasdaq,EVER,EverQuote: Inc.,6.15,153374161.2,n/a,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/ever
Nasdaq,MRAM,Everspin Technologies: Inc.,6.98,119316636.5,n/a,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/mram
Nasdaq,EVLV,EVINE Live Inc.,0.689,45709021.35,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/evlv
Nasdaq,EVOP,EVO Payments: Inc.,26.18,2124128411,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/evop
Nasdaq,EVFM,Evofem Biosciences: Inc.,3.42,88465988.16,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/evfm
Nasdaq,EVGN,Evogene Ltd.,2.57,66188543.29,n/a,n/a,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/evgn
Nasdaq,EVOK,Evoke Pharma: Inc.,2.585,45050172.81,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/evok
Nasdaq,EOLS,Evolus: Inc.,14.81,403942616.7,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/eols
Nasdaq,EVOL,Evolving Systems: Inc.,1.5,18175521,n/a,1998,Technology,EDP Services,https://www.nasdaq.com/symbol/evol
Nasdaq,EXAS,Exact Sciences Corporation,75.84,9320768611,n/a,2001,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/exas
Nasdaq,FLAG,Exchange Traded Concepts Trust FLAG-Forensic Accounting Long-S,40.52,16208000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/flag
Nasdaq,ROBO,Exchange Traded Concepts Trust ROBO Global Robotics and Automa,36.96,170016000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/robo
Nasdaq,XELA,Exela Technologies: Inc.,4.43,669469224,n/a,2015,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/xela
Nasdaq,EXEL,Exelixis: Inc.,19.66,5878008434,n/a,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/exel
Nasdaq,EXFO,EXFO Inc,3.1594,74518995.38,n/a,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/exfo
Nasdaq,EXLS,ExlService Holdings: Inc.,56.53,1936530968,n/a,2006,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/exls
